8	1.05047E-06
9	7.9368E-40
10	3.79454E-29
11	1.69955E-21
12	9.99049E-16
13	3.86357E-11
14	9.38755E-08
15	4.09879E-05
16	0.0048912
17	0.2075071
18	4.277088
19	50.564453
20	385.2504
21	2051.19201
22	8548.3266
23	28051.306
24	78176.688
25	185255.675
26	390472.94
27	729626.67
28	1303597.68
29	2074816.6
30	3157965
31	4534884.6
32	6250179.2
33	8272806.3
34	10645984.8
35	13253761.5
36	16092208.8
37	19093098.9
38	22268680.2
39	25450401.6
40	28712892
41	31901968.8
42	35121760.8
43	38184520.3
44	41166923.6
45	43852590
46	46478814
47	48854056
48	51082608
49	53012414
50	54737700
51	56235303
52	57299840
53	58345050
54	59088096
55	59785605
56	59957240
57	60067740
58	82477914
59	100166660
60	59209068
61	58529060.8
62	57506531.4
63	56389252.5
64	55173964.8
65	53636219
66	52013577
67	67985704
68	48144319.6
69	51043957.5
70	41435093
71	39094204.6
72	36709164
73	34051426.7
74	31184517.6
75	28065585
76	24405728
77	20553640.8
78	16480791.6
79	9313791.9
